#{"t_start": 1756308190.024125, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,136,0.727362
2.0,206,0.820006
0.0,126,0.881891
2.0,236,0.987711
1.0,181,1.071364
2.0,240,1.18806
1.0,180,1.268139
0.0,134,1.328393
2.0,234,1.434805
4.0,308,1.575056
1.0,165,1.650906
1.0,179,1.731212
1.0,174,1.808771
2.0,214,1.905583
2.0,231,2.008324
4.0,308,2.144632
3.0,273,2.264787
2.0,212,2.359717
1.0,182,2.441474
1.0,163,2.516745
0.0,126,2.575179
0.0,142,2.641137
0.0,136,2.70415
1.0,174,2.783058
2.0,209,2.876779
2.0,232,2.984529
1.0,169,3.064366
2.0,251,3.175952
2.0,211,3.270998
3.0,244,3.377472
0.0,139,3.441775
1.0,153,3.511433
1.0,175,3.590474
1.0,170,3.666606
0.0,145,3.73214
0.0,148,3.800152
2.0,211,3.895061
0.0,151,3.962512
0.0,134,4.023962
0.0,132,4.085618
2.0,210,4.180699
0.0,131,4.240395
1.0,176,4.321174
1.0,157,4.392061
0.0,125,4.450969
1.0,184,4.532714
2.0,200,4.623352
0.0,142,4.688263
0.0,132,4.748372
2.0,224,4.849634
0.0,128,4.909061
0.0,142,4.974025
2.0,211,5.067802
2.0,219,5.166058
1.0,178,5.50586
2.0,206,5.695611
1.0,159,5.845129
1.0,179,6.011548
6.0,414,6.403253
0.0,137,6.533158
0.0,132,6.657514
1.0,185,6.829399
1.0,161,6.98836
5.0,292,7.264152
0.0,133,7.391767
1.0,166,7.548382
3.0,275,7.801425
1.0,176,7.967587
0.0,132,8.091752
1.0,175,8.255206
0.0,135,8.383918
1.0,187,8.557455
2.0,196,8.736931
2.0,203,8.925305
2.0,189,9.102336
4.0,336,9.414092
4.0,316,9.707512
2.0,210,9.905743
0.0,141,10.036617
2.0,228,10.244963
1.0,173,10.405195
4.0,295,10.674342
2.0,226,10.893848
0.0,126,11.011976
1.0,167,11.168683
2.0,204,11.362461
2.0,214,11.557915
2.0,202,11.749219
1.0,184,11.918857
0.0,131,12.042176
0.0,133,12.16604
1.0,181,12.33412
1.0,176,12.496692
0.0,140,12.627678
3.0,258,12.864233
0.0,132,12.99151
0.0,148,13.133193
0.0,138,13.262169
0.0,144,13.396044
1.0,187,13.569264
